#OTU ID,1,2,3,4,5,6,7,8,9,10,11,12,BCU1_2,BCU1_3,BCU2_1,BCU2_2,BCU3_1,BCU3_3,BCU4_1,BCU4_2,BCU4_3,BCW1_1,BCW1_2,BCW1_3,BCW2_1,BCW2_2,BCW2_3,BCW3_1,BCW3_2,BCW3_3,BCW4_1,BCW4_2,BCW4_3,S1_1,S1_2,S1_3,S2_1,S2_2,S2_3,S3_1,S3_2,S3_3,S4_1,S4_2,S4_3,SCK_1,SCK_2,SCK_3
OTU2117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU2118,0,0,2,0,0,0,0,0,0,0,0,0,0,2,1,3,1,4,1,0,1,2,3,2,2,9,1,2,0,3,2,3,0,0,1,0,3,0,3,0,1,0,1,0,0,2,0,2
OTU2119,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,1,3,0,0,0,0,0,3,8,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU212,0,0,0,0,0,0,0,0,0,0,0,0,11,15,58,5,61,2,1,8,0,34,10,10,89,6,116,61,0,6,3,5,4,2,2,2,0,1,4,7,5,1,1,0,0,0,0,0
OTU2120,4,0,0,0,1,0,0,0,0,0,0,0,1,3,2,0,3,0,0,1,0,4,1,1,16,0,0,2,0,0,1,0,0,1,1,0,3,0,0,1,0,0,0,0,0,0,1,4
OTU2121,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,2,5,2,2,0,0,3,0,6,3,0,2,1,2,3,0,3,1,0,0,1,0,0,0,1,0,1
OTU2122,0,0,2,4,2,2,4,0,0,0,3,0,2,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,5,0,2,1,0,0,2,3,0,0,0,1,2,0,1,0
OTU2123,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,4,5,0,0,1,0,0,3,5,0,0,0,0,2,0,1,0,1,1,0,0,0,0,0,0,0
OTU2124,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,0,12,0,0,0,0,0,1,3,3,6,0,0,0,10,0,0,0,2,1,4,2,0,1,1,2,0,0,1,0,0
OTU2125,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,35,0,0,0,0,0,0,0,4,1,1,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU2126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
OTU2127,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,1,0,0,0,0,0,0,9,2,0,0,0,1,0,4,0,0,2,0,4,0,1,0,5,1,0,0,0
OTU2128,1,0,0,0,0,0,0,0,0,0,0,0,1,6,7,9,11,0,1,0,0,0,1,2,2,20,1,4,0,0,0,0,0,0,0,3,1,3,1,7,0,0,0,0,0,0,0,0
OTU2129,2,0,1,0,0,0,0,0,0,0,0,0,1,10,5,24,2,0,4,0,1,4,0,7,16,42,5,18,0,0,3,4,0,0,1,1,5,2,1,1,0,0,1,0,0,0,0,0
OTU213,0,1,0,0,0,0,0,0,0,0,0,0,26,2,31,4,0,11,22,31,11,30,5,7,43,1,25,2,13,3,0,27,26,6,10,6,21,4,11,0,4,7,17,6,2,0,0,0
