#OTU ID,Domain,Phylum,Class,Order,Family,Genus,Species
OTU1196,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,,
OTU1197,Bacteria,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae,Planctopirus,
OTU1198,Bacteria,Chloroflexi,FR749824_c,EF020133_o,EF020133_f,EF020133_g,
OTU1199,Bacteria,Planctomycetes,Phycisphaerae,Phycisphaerales,Tepidisphaeraceae,Tepidisphaera,
OTU12,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,HM748754_g,
OTU120,Bacteria,Acidobacteria,Solibacteres,Solibacterales,Solibacteraceae,Solibacter,
OTU1200,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Haliangiaceae,EU589248_g,
OTU1201,Bacteria,Actinobacteria,Rubrobacteria,Gaiellales,Gaiellaceae,Gaiella,
OTU1202,Unassigned,,,,,,
OTU1203,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,,
OTU1204,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Ilumatobacter_f,GQ387490_g,
OTU1205,Bacteria,Cyanobacteria,JQ650114_c,JQ650114_o,JQ650114_f,JQ650114_g,
OTU1206,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter_g3,
OTU1207,Bacteria,Armatimonadetes,Fimbriimonadia,Fimbriimonadales,Fimbriimonadaceae,Fimbriimonas,
OTU1208,Bacteria,Armatimonadetes,Fimbriimonadia,Fimbriimonadales,Fimbriimonadaceae,Fimbriimonas,
OTU1209,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,AB232813_g,
OTU121,Bacteria,Planctomycetes,Phycisphaerae,Phycisphaerales,Tepidisphaeraceae,Tepidisphaera,
OTU1210,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Haliangiaceae,EU589248_g,
OTU1211,Bacteria,Planctomycetes,Planctomycetia,Planctomycetales,Gemmata_f,GQ402825_g,
OTU1212,Bacteria,Chloroflexi,EU335161_c,EU861972_o,AJ536892_f,AJ536892_g,
OTU1213,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylobacteriaceae,Microvirga,
OTU1214,Bacteria,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae,FJ203423_g,
OTU1215,Archaea,Thaumarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,,
OTU1216,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizomicrobium_f,Rhizomicrobium,
OTU1217,Bacteria,Actinobacteria,Actinobacteria_c,Streptosporangiales,Thermomonosporaceae,Actinomadura,
OTU1218,Bacteria,Proteobacteria,Betaproteobacteria,AY234747_o,AY234747_f,AY234747_g,
OTU1219,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,EF516809_f,,
OTU122,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,JADL_g,
OTU1220,Eukarya,Chlorophyta,Trebouxiophyceae,Chlorellales,Oocystaceae,Oocystis,
OTU1221,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,Labilithrix,
OTU1222,Bacteria,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae,EU881226_g,
OTU1223,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhodomicrobium_f,Rhodomicrobium,
OTU1224,Bacteria,Chloroflexi,HM748667_c,HM748667_o,HM748667_f,HM748667_g,
OTU1225,Bacteria,Acidobacteria,Blastocatellia,Blastocatellales,Blastocatellaceae,,
OTU1226,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,AP011765_g,
OTU1227,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,,
OTU1228,Bacteria,Cyanobacteria,JQ650114_c,JQ650114_o,JQ650114_f,JQ650114_g,
OTU1229,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Coxiellaceae,Aquicella,
OTU123,Bacteria,Acidobacteria,HQ645210_c,HQ645210_o,HQ645210_f,HQ190481_g,
OTU1230,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,HQ166684_g,
OTU1231,Bacteria,Chloroflexi,Ktedonobacteria,JX133647_o,JX133647_f,JX133647_g,
OTU1232,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Acidisphaera,
OTU1233,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,AB128884_f,AB128884_g,
OTU1234,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,,
OTU1235,Bacteria,Gemmatimonadetes,Gemmatimonadetes_c,Gemmatimonadales,Gemmatimonadaceae,JX133521_g,
OTU1236,Bacteria,Deinococcus-Thermus,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,
OTU1237,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,,
OTU1238,Bacteria,Planctomycetes,Planctomycetia,Planctomycetales,Gemmata_f,DQ906072_g,
OTU1239,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,FJ798303_g,
OTU124,Bacteria,Acidobacteria,Solibacteres,Solibacterales,Solibacteraceae,Solibacter,
OTU1240,Eukarya,Streptophyta,Bryopsida,Bryales,,,
OTU1241,Bacteria,Proteobacteria,Deltaproteobacteria,FM253572_o,EU335336_f,EU335336_g,
OTU1242,Bacteria,Elusimicrobia,Elusimicrobia_c,EU861834_o,EU861834_f,EU861834_g,
OTU1243,Bacteria,Planctomycetes,Planctomycetia,Planctomycetales,Gemmata_f,,
OTU1244,Bacteria,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae,AY913229_g,
OTU1245,Bacteria,Planctomycetes,Planctomycetia,Planctomycetales,Gemmata_f,,
OTU1246,Bacteria,WS5,WS5_c,EU644175_o,EU644175_f,GQ397067_g,
OTU1247,Archaea,Thaumarchaeota,FFSB_c,FFSB_o,DQ278152_f,,
