#OTU ID,1,2,3,4,5,6,7,8,9,10,11,12,BCU1_2,BCU1_3,BCU2_1,BCU2_2,BCU3_1,BCU3_3,BCU4_1,BCU4_2,BCU4_3,BCW1_1,BCW1_2,BCW1_3,BCW2_1,BCW2_2,BCW2_3,BCW3_1,BCW3_2,BCW3_3,BCW4_1,BCW4_2,BCW4_3,S1_1,S1_2,S1_3,S2_1,S2_2,S2_3,S3_1,S3_2,S3_3,S4_1,S4_2,S4_3,SCK_1,SCK_2,SCK_3,taxonomy
OTU4998,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,1,1,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;Iamiaceae
OTU4999,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,Bacteria;Planctomycetes;Planctomycetia;Planctomycetales;Planctomycetaceae
OTU5,15,232,12,690,422,561,523,965,594,550,544,329,41,108,45,13,35,85,6,103,51,39,8,46,14,8,57,11,70,8,11,5,36,283,100,491,475,72,360,90,180,160,15,395,203,15,217,16,Bacteria;Actinobacteria;Actinobacteria_c;Corynebacteriales;Mycobacteriaceae;Mycobacterium
OTU50,1,0,0,0,0,0,0,0,0,0,0,0,1,17,33,22,389,6,0,0,0,1,3,0,2,35,226,406,0,0,28,0,0,1,0,4,21,32,7,80,0,0,1,0,0,1,0,2,Bacteria;Planctomycetes;Phycisphaerae;Phycisphaerales;Tepidisphaeraceae;Tepidisphaera
OTU500,0,153,0,12,3,14,3,7,16,42,3,80,10,7,2,0,0,5,0,2,0,4,0,2,4,0,5,0,11,1,3,0,4,4,2,7,20,1,1,1,1,0,0,1,7,0,89,0,Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;DQ129264_g
OTU5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;AJ224942_f
OTU5001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria;Proteobacteria;Deltaproteobacteria;Bdellovibrionales;Bdellovibrionaceae;EU104230_g
OTU5002,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unassigned
OTU5003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria;Kazan;CP011216_c;AM991231_o;AM991231_f;EF019223_g
OTU5004,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,6,0,0,1,1,0,0,0,1,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,Bacteria;Cyanobacteria;JF737898_c;JF737898_o;JF737898_f;JF737898_g
OTU5005,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Micavibrio_f;HM459608_g
OTU5006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;Polyangiaceae;AP011765_g
OTU5007,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,2,0,Bacteria;AD3;AY289487_c;FJ625337_o;FJ625337_f;FJ625337_g
OTU5008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,2,4,1,0,0,0,0,Bacteria;Acidobacteria;Solibacteres;Solibacterales;Solibacteraceae;Solibacter
OTU5009,7,0,2,1,3,2,2,0,1,1,1,0,6,89,0,2,4,49,6,7,0,9,9,27,1,4,3,8,0,1,31,3,9,6,15,13,2,10,5,4,2,6,1,0,0,5,0,3,Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Chitinophagaceae;Ferruginibacter
OTU501,9,28,4,14,10,11,25,19,7,5,0,2,3,1,4,1,0,20,1,3,1,0,0,3,0,0,8,2,2,53,1,1,0,8,7,1,12,9,18,9,8,23,12,18,12,11,21,7,Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;JADL_g
OTU5010,0,0,1,1,1,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,2,0,0,Bacteria;TM6;TM6_c;Babela_o;Babela_f;JF185717_g
OTU5011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;EF032738_f;AY662029_g
